id;author;title;release_date;status;category;language
1;Table Fish;Dynamic programming;2022-05-10;AVAILABLE;DRAMA;ENGLISH
2;Agent;compress state mobile;2022-05-10;AVAILABLE;DRAMA;ESTONIAN
3;Georgia Borders;calculating Overpass;2022-05-09;RENTED;DRAMA;ENGLISH
4;auxiliary Pula Representative;Optimization calculating Delaware;2022-05-09;AVAILABLE;CHILDREN;ESTONIAN
5;Loan Points violet;ivory lime;2022-05-09;AVAILABLE;THRILLER;ENGLISH
6;Consultant Berkshire Jordanian;online turn-key Soft;2022-05-09;RENTED;DRAMA;ENGLISH
7;Chicken;backing deposit;2022-05-10;RENTED;CHILDREN;ESTONIAN
8;e-business indigo Account;Sweden Personal programming;2022-05-09;AVAILABLE;CHILDREN;FINNISH
9;back-end next-generation Marketing;Sleek;2022-05-09;RENTED;THRILLER;ENGLISH
10;Nebraska South;e-tailers functionalities Supervisor;2022-05-09;BOOKED;DRAMA;ESTONIAN
