id;status;rented_at;rented_until
1;OPEN;2022-05-10T04:16:54;2022-05-10T06:12:40
2;RENTED;2022-05-10T04:41:10;2022-05-09T13:20:17
3;DECLINED;2022-05-10T05:33:48;2022-05-09T14:09:44
4;DECLINED;2022-05-10T12:22:38;2022-05-10T03:26:56
5;OPEN;2022-05-10T04:20:56;2022-05-09T16:55:59
6;RENTED;2022-05-10T01:50:21;2022-05-10T09:20:49
7;OPEN;2022-05-09T13:48:14;2022-05-09T21:44:11
8;RENTED;2022-05-09T16:49:29;2022-05-10T01:17:39
9;OPEN;2022-05-10T09:54:18;2022-05-09T16:24:36
10;RENTED;2022-05-09T14:09:36;2022-05-10T05:40:33
